filename,extension,detected_type,file_size_kb,width,height,has_exif,has_gps,latitude,longitude,camera_make,camera_model,datetime_original,page_count,sha256_hash
048b17c0982408687b4dfcf37c92b039.pdf,.pdf,pdf,439.24,,,False,False,,,,,,2,955c9b2a2d40a296...
04999ce9892f94d6fce9a6e1c4a6ab14.jpg,.jpg,jpg,20.47,513,686,False,False,,,,,,,1ffd177a798179e7...
04b360b0d2297fa959f5003b2673fea2.pdf,.pdf,pdf,2029.03,,,False,False,,,,,,1,06abbb059b39df90...
04bc45da5570199c3ac6b6d5931f990e.png,.png,png,335.46,534,692,False,False,,,,,,,f4fa0effa70ebc47...
04cd9a508a508d3b145c18a780ed864d.pdf,.pdf,pdf,492.37,,,False,False,,,,,,2,c6d4d3b4ff8a693d...
04d46f43f744aa7e56c8fb1b81ddd2d4.jpg,.jpg,jpg,21.79,513,686,False,False,,,,,,,161bc318da3f231d...
04d94d5d687827b56a2a2d0a17d5054a.jpg,.jpg,jpg,126.86,1319,1444,False,False,,,,,,,8f7136f76edbc6e6...
04ed9b88af7a37824dd4450901438f0d.pdf,.pdf,pdf,436.66,,,False,False,,,,,,1,d1b7e4e9f4255f61...
05199cec08b8fc5c01e00ae2dbb414b1.pdf,.pdf,pdf,343.26,,,False,False,,,,,,1,108ef0a59849dac7...
0532fb1c7d43a65d2f9dd676908f79ec.pdf,.pdf,pdf,897.28,,,False,False,,,,,,1,be10419793ca8fc5...
053416dedac38a336578783c105d0efc.jpg,.jpg,jpg,31.65,506,630,False,False,,,,,,,abf416c30ac87793...
054b17ebd1c59357c11c2118fce3a19f.jpg,.jpg,jpg,35.14,462,692,False,False,,,,,,,6f351c84e52ac38b...
055020341ae853e814f753b2ef7d8c1a.pdf,.pdf,pdf,127.21,,,False,False,,,,,,1,3b728873b433cb9a...
0555b608219dec6501cfeb9322e4cfa7.jpg,.jpg,jpg,27.99,513,686,False,False,,,,,,,13bb2cf492ac45c8...
055d9f90b829cc61271420f0db7d0043.pdf,.pdf,pdf,68.74,,,False,False,,,,,,1,e78b27ab25801eac...
056058625e4a1b1bbeb5781db645e832.pdf,.pdf,pdf,999.15,,,False,False,,,,,,2,f98d46458b655972...
057f91281be8d6ac4c1b155210caf004.pdf,.pdf,pdf,346.71,,,False,False,,,,,,1,89cea5d85f326e43...
05a95a774bb4e9997561be1892a4ecf5.pdf,.pdf,pdf,361.54,,,False,False,,,,,,2,a6296fde2a96d6bb...
05b9606150aa49a7f171d015d8d812b5.pdf,.pdf,pdf,232.06,,,False,False,,,,,,1,36f4562dd2fa874f...
05c90689354cead23f57fe98e9724802.pdf,.pdf,pdf,139.82,,,False,False,,,,,,1,29d082d774f8a09e...
05f2ed6465c97d3f37e62bc5e1d218ea.jpg,.jpg,jpg,44.2,422,692,False,False,,,,,,,dd12837cb8755c89...
060634955030d904de506d739a16a7ca.jpg,.jpg,jpg,16.87,428,572,False,False,,,,,,,260fc1dc4cc91529...
0612926dcfc18bd2a022c65ddd803b67.pdf,.pdf,pdf,260.94,,,False,False,,,,,,1,6d2484056f8bd169...
06184d854ef7f21d5817a61e07ecc116.jpg,.jpg,jpg,28.34,703,692,False,False,,,,,,,a1abf55cb17b5429...
0660689736e7f3efe3f6f30c59191c09.pdf,.pdf,pdf,105.83,,,False,False,,,,,,1,efdd0e045bf49cd6...
069755dd3c6ffba4cf68e0aebb442228.jpg,.jpg,jpg,25.49,602,692,False,False,,,,,,,e8048d011fdb0c09...
06ac2993bce75ce00841c427ccf3324d.pdf,.pdf,pdf,618.77,,,False,False,,,,,,1,dcc5a7402cd7c793...
06caa80f240148098a98985e5b8d8aaf.pdf,.pdf,pdf,213.33,,,False,False,,,,,,1,76121c14f8f33e34...
06cadc022284ad3fc6af5ec34da02f99.jpg,.jpg,jpg,97.96,1158,692,False,False,,,,,,,c64342ea328579b9...
06d960ce60e2bbaf43b989dfa4c0461c.pdf,.pdf,pdf,227.24,,,False,False,,,,,,1,84079dc852f45119...
06e6c1d888c4fb8aaffcfd21cc77cdc4.pdf,.pdf,pdf,442.04,,,False,False,,,,,,1,adc25c297c783a00...
